product_name,category
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Watermelon (Single Can)",Energy Drinks
"Starbucks Doubleshot Energy White Chocolate Coffee Energy Drink, 15 oz Can",Energy Drinks
"ZOA Energy Drink, Pineapple Coconut, Zero Sugar, 16 Fl oz.",Energy Drinks
"NOS High Performance Energy Drink, 16 fl oz",Energy Drinks
"ZOA Energy Drink, Wild Orange, Zero Sugar, 16 Fl oz.",Energy Drinks
"Starbucks Tripleshot Energy Caramel Extra Strength Coffee Energy Drink, 15 oz Can",Energy Drinks
Starbucks Tripleshot Energy Zero Sugar Vanilla Extra Strength Coffee Energy Drink 15 oz Can,Energy Drinks
"Starbucks Tripleshot Energy French Vanilla Extra Strength Coffee Energy Drink, 15 oz Can",Energy Drinks
"Red Bull Energy Drink, Sugar Free, 12 Fl Oz",Energy Drinks
"Starbucks Doubleshot Energy Mocha Coffee Energy Drink, 15 oz Can",Energy Drinks
"Celsius Sparkling Energy Drink  No Sugar or Preservatives  Orange (4 Drinks, 12 Fl Oz. Each)",Energy Drinks
"Malta Goya Malt Beverage, 7 fl oz, 10 count",Energy Drinks
"Kill Cliff Ignite Cherry Lime Grenade, 12oz CLEAN ENERGY DRINK",Energy Drinks
"Bucked Up Big Game Energy Drink, Sour Gummy, 16 fl oz, 150 mg Caffeine",Energy Drinks
"POWERADE Zero Sugar Fruit Punch, ION4 Electrolyte Enhanced Fruit Flavored Zero Sugar Zero Calorie Sports Drink, 20 fl oz, 8 Pack",Energy Drinks
"C4 Ultimate + Fruit Punch + Energy Drink + Pump + Performance + 16 oz, Single Can",Energy Drinks
"Rowdy Energy, Peach Mango, Sugar Free Energy Drink, 16 oz",Energy Drinks
"ZOA Energy Drink, Tropical Punch, Zero Sugar, 16 Fl oz.",Energy Drinks
VOOZ Wyldin Watermelon 16oz 12pk,Energy Drinks
"Java Monster Nitro Cold Brew Latte, Coffee + Energy Drink, 13.5 fl oz",Energy Drinks
"Bang Keto Coffee Mocha Madness High Protein Energy Drink, 15 oz Can",Energy Drinks
"Monster Zero Ultra, 12 fl oz, 6 Pack",Energy Drinks
"ZOA Energy Drink, Super Berry, Zero Sugar, 16 Fl oz.",Energy Drinks
"Starbucks Doubleshot Energy Mocha Coffee Energy Drink, 11 oz, 4 Pack Cans",Energy Drinks
"Red Bull Energy Drink, 20 Fl Oz",Energy Drinks
"5-hour ENERGY  Shot, Regular Strength, Berry, 1.93 oz., 6 Count",Energy Drinks
BCAA Powder - Evlution Nutrition Pre Workout BCAA Energy Powder 30 Servings - EVL BCAA Amino Acids Endurance & Muscle Recovery Drink - Fruit Punch Flavor with Vitamin B12 & Vitamin C,Energy Drinks
"5-hour ENERGY Shot, Extra Strength, Berry, 1.93 oz",Energy Drinks
"Java Monster Nitro Cold Brew Sweet Black, Coffee + Energy Drink, 13.5 fl oz",Energy Drinks
"Red Bull Energy Drink, 8.4 Fl Oz",Energy Drinks
"CELSIUS Essential Energy Drink 12 Fl Oz, Peach Mango Green Tea (Single)",Energy Drinks
"Stacker 2 B12 10,000% Energy Shot Acai Pomegranate, 2 fl oz, 6 count",Energy Drinks
"Monster Energy Lo-Carb, Energy Drink, 16 fl oz",Energy Drinks
"Kill Cliff Ignite Flaming Joe, 12oz CLEAN ENERGY DRINK",Energy Drinks
"Redline Xtreme Blue Razz, 4 ct",Energy Drinks
"vitaminwater xxx, electrolyte enhanced water w/ vitamins, aai-blueberry-pomegranate drink, 20 fl oz",Energy Drinks
"Reign Total Body Fuel, Orange Dreamsicle, Performance Energy Drink, 16 fl oz, 4 Pack",Energy Drinks
"neuroSONIC | Superfruit Infusion | Functional Beverage for Focused Energy, 14.5 Fl. Oz.",Energy Drinks
"Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz",Energy Drinks
"Pedialyte Electrolyte Powder, Electrolyte Drink, Variety Pack, Powder Sticks, 0.3 oz, 8 Count",Energy Drinks
"vitaminwater energy electrolyte enhanced water w/ vitamins, tropical citrus drink, 20 fl oz",Energy Drinks
"Suja Organic Vitamin D and Zinc Shot with Reishi & Probiotics, 1.7 FL OZ.",Energy Drinks
"Eternal Energy Premium Energy Shot, Grape, 1.93 fl oz, 6 Count",Energy Drinks
Bang Shot Peach Mango 4PK,Energy Drinks
"Bucked Up Energy Drink, Low Stim Pink Lemonade, 16 fl oz, 100 mg Caffeine",Energy Drinks
"5-hour ENERGY Shot, Extra Strength, Grape, 1.93 oz, 15 Count",Energy Drinks
"5-hour ENERGY Shot, Extra Strength, Grape, 1.93 oz, 6 Count",Energy Drinks
"5-hour ENERGY  Shot, Extra Strength, Blue Raspberry, 1.93 oz, 15 Count",Energy Drinks
BCAA Powder - Evlution Nutrition Pre Workout BCAA Energy Powder 30 Servings - EVL BCAA Amino Acids Endurance & Muscle Recovery Drink - Blue Raz Flavor with Vitamin B12 & Vitamin C,Energy Drinks
"5-hour ENERGY  Shot, Extra Strength, Peach Mango, 1.93 oz, 15 Count",Energy Drinks
"MiO Vitamins Orange Tangerine Sugar Free Water Enhancer with 2X More, 3.24 fl oz Big Bottle",Energy Drinks
"MiO Energy Black Cherry Sugar Free Water Enhancer with 2X More, 3.24 fl oz Big Bottle",Energy Drinks
LIFEAID FITAID CITRUS 4-Pack,Energy Drinks
"Great Value Blue Raspberry Drink Enhancer, 3.1 fl oz",Energy Drinks
"Red Bull Energy Drink, Sugar Free, 16 Fl Oz",Energy Drinks
"Reign Total Body Fuel, Reignbow Sherbet, Performance Energy Drink, , 16 fl oz",Energy Drinks
"Alani Nu Sugar-Free Energy Drink, Limited Edition Flavor Rocket Pop, 12 fl oz",Energy Drinks
Mountain Dew Kickstart Orange Citrus Energizing Juice 16 oz Can,Energy Drinks
Mountain Dew Kickstart Black Cherry Energizing Juice 16 oz Can,Energy Drinks
Mountain Dew Kickstart Fruit Punch Energizing Juice 16 oz Can,Energy Drinks
Mtn Dew Energy Drink Pomegranate Blue Burst Blueberry Pomegranate 16 Fl Oz 4 Count Cans,Energy Drinks
"Red Bull Energy Drink, Sugar Free, 12 Fl Oz (4 Pack)",Energy Drinks
Starbucks Zero Sugar Coffee Drink Tripleshot Energy Chocolate 15 Fluid Ounce,Energy Drinks
"CELSIUS Essential Energy Drink 12 Fl Oz, Sparkling Kiwi Guava (Single Can)",Energy Drinks
"Java Monster Salted Caramel, Coffee + Energy Drink, 15 fl oz",Energy Drinks
"Bang Keto Coffee Chocolate Peanut Butter High Protein Coffee Energy Drink, 15 oz Can",Energy Drinks
"5-Hour Energy Shot, Extra Strength, Grape, 1.93 oz",Energy Drinks
"A SHOC Accelerator Island Guava Smart Energy Drink, 12 Fl Oz Can",Energy Drinks
"Great Value Sugar-Free Lemonade Drink Mix, 0.53 Oz., 6 Count",Energy Drinks
"5-hour ENERGY Shot, Extra Strength, Berry, 1.93 oz, 6 Count",Energy Drinks
"Starbucks Doubleshot Energy Vanilla Coffee Energy Drink, 11 oz, 4 Pack Cans",Energy Drinks
"5-hour ENERGY Shot, Extra Strength, Berry, 1.93 oz, 15 Count",Energy Drinks
"Clear American Peach Sparkling Water, 33.8 fl oz",Sparkling Water
"Clear American Black Cherry Sparkling Water, 33.8 fl oz",Sparkling Water
"Clear American Sparkling Water, Blackberry Lemonade, 33.8 fl oz",Sparkling Water
"Clear American Sparkling Water, Wild Cherry, 33.8 fl oz",Sparkling Water
"Clear American Cherry Lime Raspberry Sparkling Water, 33.8 Fl Oz, Bottle",Sparkling Water
"Clear American Fuji Apple Sparkling Water, 33.8 fl oz",Sparkling Water
"Clear American Sparkling Water, Cherry Vanilla, 33.8 fl oz",Sparkling Water
"Clear American Sparkling Water, Tangerine Mango, 33.8 fl oz",Sparkling Water
"Clear American Sparkling Water, Mandarin Orange, 33.8 fl oz",Sparkling Water
"Clear American Sparkling Water, Key Lime 33.8 fl oz",Sparkling Water
"Clear American Sparkling Water, Strawberry, 33.8 fl oz",Sparkling Water
"Clear American Sparkling Water, Orange & Cream, 33.8 fl oz",Sparkling Water
"Clear American Cotton Candy Sparkling Water, 33.8 Fl Oz, Bottle",Sparkling Water
"Clear American Sparkling Water, Cherry Limeade, 12 fl Oz, 12 Count",Sparkling Water
"Clear American Black Cherry Sparkling Water, 12 Fl Oz, 12 Pack Cans",Sparkling Water
"Clear American Cherry Limeade Sparkling Water, 33.8 fl oz",Sparkling Water
"Clear American Strawberry Sparkling Water, 12 Fl Oz, 12 Pack Cans",Sparkling Water
"LaCroix Sparkling Water, LimonCello 8pk/ 12 fl oz",Sparkling Water
"Clear American Sparkling Water, Peach, 12 fl oz, 12 Count",Sparkling Water
"Clear American Mandarin Orange Sparkling Water, 12 fl oz, 12 Count",Sparkling Water
"LaCroix Sparkling Water, Lime 8Pk/12Oz",Sparkling Water
"Clear American Pineapple Coconut Sparkling Water, 12 Fl Oz, 12 Pack Cans",Sparkling Water
"AHA Sparkling Water, Pineapple + Passionfruit Flavored Water, Zero Calories, Sodium Free, No Sweeteners, 12 fl oz, 8 Pack",Sparkling Water
"AHA Sparkling Water, Blackberry + Lemon Flavored Water, Zero Calories, Sodium Free, No Sweeteners, 12 fl oz, 8 Pack",Sparkling Water
"Clear American Unsweetened Lime Sparkling Water, 12 Fl Oz, 12 Pack Cans",Sparkling Water
"bubly Blackberry Flavored Sparkling Water, 12 oz, 8 Pack Cans",Sparkling Water
"bubly Strawberry Flavored Sparkling Water, 12 oz, 8 Pack Cans",Sparkling Water
"AHA Sparkling Water, Blueberry Pomegranate Flavored Water, Zero Calories, Sodium Free, No Sweeteners, 12 fl oz, 8 Pack",Sparkling Water
"LaCroix Sparkling Water, Razz- Cranberry 8Pk/12Oz",Sparkling Water
"Sparkling Ice Variety Pack, 17 Fl Oz, 12 Count (Grape Raspberry, Strawberry Watermelon, Classic Lemonade, Lemon Lime)",Sparkling Water
"bubly Summer Coconut Pineapple Sparkling Water, 12 Fl Oz, 8 Pack Cans",Sparkling Water
"Sparkling Ice Variety Pack, 17 Fl Oz, 12 Count (Black Raspberry, Cherry Limeade, Orange Mango, Kiwi Strawberry)",Sparkling Water
"AHA Sparkling Water, Lime + Watermelon Flavored Water, Zero Calories, Sodium Free, No Sweeteners, 12 fl oz, 8 Pack",Sparkling Water
"Clear American Unsweetened Blackberry Sparkling Water, 12 fl oz, 12 Count",Sparkling Water
"LaCroix Tangerine Sparkling Water - 8pk/12 fl oz Cans, 8 / Pack (Quantity)",Sparkling Water
"bubly Lime Flavored Sparkling Water, 12 oz, 8 Pack Cans",Sparkling Water
"Ready-to-Drink - Grapefruit - 12 fl oz (355 mL) - Can - 8 / Pack / Can, 8 / Pack (Quantity)",Sparkling Water
Sprkilng Water Can Pure,Sparkling Water
"LaCroix Passionfruit Sparkling Water, 12 Fl Oz, 8 Count Cans",Sparkling Water
"Sparkling Ice Naturally Flavored Sparkling Water, Strawberry Watermelon 17 Fl Oz",Sparkling Water
"Great Value Sodium Free Seltzer Water, 33.8 fl oz",Sparkling Water
"LaCroix Sparkling Water Curate, Cerise Limn (Cherry Lime) - 8pk/12 fl Oz Cans",Sparkling Water
"Clear American Peach Nectar Sparkling Water, 17 Fl Oz, Bottle",Sparkling Water
"bubly Raspberry Flavored Sparkling Water, 12 oz, 8 Pack Cans",Sparkling Water
"Sparkling Ice Naturally Flavored Sparkling Water, Orange Mango 17 Fl Oz",Sparkling Water
"Sparkling Ice Naturally Flavored Sparkling Water, Black Raspberry 17 Fl Oz",Sparkling Water
"Sparkling Ice Naturally Flavored Sparkling Water, Coconut Pineapple 17 Fl Oz",Sparkling Water
"LaCroix Sparkling Water Curate, Pina Fraise (Pineapple Strawberry) 8pk/12 fl Oz",Sparkling Water
"LaCroix Sparkling Water, Coconut - 8pk/12 fl oz",Sparkling Water
"Sparkling Ice Naturally Flavored Sparkling Water, Kiwi Strawberry 17 Fl Oz",Sparkling Water
"Clear American Unsweetened Strawberry Sparkling Water, 12 Fl Oz, 12 Pack Cans",Sparkling Water
"Sparkling Ice Naturally Flavored Sparkling Water, Classic Lemonade 17 Fl Oz",Sparkling Water
"Sparkling Ice Naturally Flavored Sparkling Water, Peach Nectarine 17 Fl Oz",Sparkling Water
"Great Value Low Sodium Club Soda Sparkling Water, 33.8 Fl Oz, 1 single Bottle",Sparkling Water
"Topo Chico Sparkling Mineral Water Glass Bottles, 12 fl oz, 12 Pack",Sparkling Water
"LaCroix Sparkling Water, Key Lime 8pk/12 fl Oz",Sparkling Water
"AHA Sparkling Water, Orange + Grapefruit Flavored Water, Zero Calories, Sodium Free, No Sweeteners, 12 fl oz, 8 Pack",Sparkling Water
"LaCroix Sparkling Water, Lemon 8pk/12 fl Oz",Sparkling Water
"Sparkling Ice Naturally Flavored Sparkling Water, Black Raspberry 17 Fl Oz, (Pack of 12)",Sparkling Water
"AHA Sparkling Water, Citrus + Green Tea Flavored Water, with Caffeine & Electrolytes, Zero Calories, Sodium Free, No Sweeteners, 12 fl oz, 8 Pack",Sparkling Water
"bubly Grapefruit Flavored Sparkling Water, 12 oz, 8 Pack Cans",Sparkling Water
"Perrier Sparkling Water, 16.9 FL OZ Plastic Water Bottles (6 Count) 101.4 fl oz",Sparkling Water
SANPELLEGRINO Sparkling Natural Mineral Water,Sparkling Water
"bubly Summer Passionfruit Sparkling Water, 12 Fl Oz, 8 Pack Cans",Sparkling Water
"Bubly Bounce Caffeinated Triple Berry Flavored Sparkling Water, 12 oz, 8 Pack Cans",Sparkling Water
"Bubly Bounce Caffeinated Mango Passion Fruit Flavored Sparkling Water, 12 oz, 8 Pack Cans",Sparkling Water
"Sparkling Ice +Caffeine Naturally Flavored Sparkling Water, Blue Raspberry 16 Fl Oz",Sparkling Water
"Sparkling Ice +Caffeine Black Raspberry Sparkling Water, 16 Fl Oz Can",Sparkling Water
"Great Value Calorie Free Club Soda Cocktail Mixer, 7.5 Oz, 6 Count",Sparkling Water
"ORIGIN, Sparkling Water, 16.9 Fl Oz, Recycled Plastic Bottle (6 Count)",Sparkling Water
"Jarritos Mineragua Sparkling Water, 1.58 qt (1.5 liter), 1 Count",Sparkling Water
Great Value 4pk Sparkling Strawberry 8.45oz,Sparkling Water
"Stacker 2 B12 10,000% Energy Shot Grape, 2 fl oz, 6 count",Energy Drinks
"5-hour ENERGY, Regular Strength, Watermelon, 1.93 oz, 6 Count",Energy Drinks
"5-hour ENERGY Shot, Extra Strength, Tropical Burst, 1.93 oz, 6 Count",Energy Drinks
"5-hour Energy, Extra Strength, Sugar Free, Tropical Burst, 1.93 oz.",Energy Drinks
"Seattle Gummy Co. Mocca Shots, Salted Caramel, High Energy Dietary Supplement Gummies 4-Pack",Energy Drinks
"Bai Boost Watamu Strawberry Watermelon, Antioxidant Infused Beverage, 18 fl oz bottle",Energy Drinks
"Rowdy Energy, Strawberry Lemonade, Sugar Free Energy Drink, 16 oz",Energy Drinks
Glukos Energy - Glukos Energy Gel Fruit Punch - 2 oz.,Energy Drinks
"Mtn Dew Baja Blast Energy Drink, Lime ,16 fl oz Can",Energy Drinks
VOOZ Blackberry16oz 12pk,Energy Drinks
"Bucked Up Big Game Energy Drink, Peach Passion, 16 fl oz, 150 mg Caffeine",Energy Drinks
"Rowdy Energy, Chiseled Ice, Sugar Free Energy Drink, 16 oz",Energy Drinks
"OLIPOP A New Kind of Soda, Tropical Punch Sparkling Tonic, 12 fl oz",Sparkling Water
"vitaminwater zero xxx, electrolyte enhanced water w/ vitamins, aai-blueberry-pomegranate drinks, 16.9 fl oz, 6 Pack",Sparkling Water
"Humankind Sparkling Water, 33.8 Fl Oz, Bottle",Sparkling Water
"Schweppes Club Soda, 1 L bottle",Sparkling Water
"SodaStream bubly drops Unsweetened Natural Flavor Essence Blackberry, 40 mL",Sparkling Water
"Polar Beverages Tonic Water, 1 Liter",Sparkling Water
"SodaStream bubly drops Unsweetened Natural Flavor Essence Mango, 40 mL",Sparkling Water
"Great Value Hydrate Electrolyte Water, 33.8 fl oz, 6 Count",Sparkling Water
"SodaStream bubly drops Unsweetened Natural Flavor Essence Lime, 40 mL",Sparkling Water
"SodaStream bubly Drops Peach Flavored Sparkling Water Flavor Mix, 40 ml",Sparkling Water
"bubly Cherry Flavored Sparkling Water, 12 oz, 8 Pack Cans",Sparkling Water
"Great Value Sugar-Free Drink Mix, Strawberry Watermelon, 0.42 Oz, 6 Ct",Drink Mixes
"Great Value Sugar-Free Cherry Drink Mix, 1.9 Oz., 6 Count",Drink Mixes
"Hawaiian Punch Sugar Free On The Go Drink Mix Sticks Variety Pack, 30 count, 3.0 oz",Drink Mixes
"Great Value Sugar-Free Drink Mix, Grape, 0.32 oz, 6 Count",Drink Mixes
"Crush Sugar Free Grape Orange Strawberry On the Go Drink Mix Variety Pack, 30 count, 2.75 oz",Drink Mixes
"Great Value Strawberry Orange Banana Drink Mix, 0.4 oz, 6 count",Drink Mixes
"Great Value Sugar-Free Pink Lemonade Drink Mix, 0.14 oz, 10 Count",Drink Mixes
Propel Zero Sugar Electrolyte Water Beverage Mix Kiwi Strawberry Naturally Flavored 0.08 Oz 10 Ct,Drink Mixes
"Great Value Sugar-Free Energy Electrolyte Watermelon Limeade Drink Mix, 1.1 oz, 10 Packet",Drink Mixes
"Great Value Strawberry Watermelon Drink Mix, 0.11 oz, 10 count",Drink Mixes
"Great Value Antioxidant Sugar-Free Blackberry Lemonade Drink Mix, 1.41 oz, 10 Count",Drink Mixes
"Kool-Aid Unsweetened Tropical Punch Artificially Flavored Powdered Drink Mix, 0.16 oz. Packet",Drink Mixes
"Great Value Peach Mango Green Tea Drink Mix, 0.08 oz, 10 Count",Drink Mixes
"Great Value Sugar-Free Cherry Drink Mix, 0.78 oz, 10 Count",Drink Mixes
Starburst Sugar Free Strawberry Drink Mix 6ct,Drink Mixes
"Great Value Fruit Punch Drink Mix, 0.07 Oz, 10 Ct",Drink Mixes
"Kool-Aid Unsweetened Cherry Artificially Flavored Powdered Soft Drink Mix, 0.13 oz Packet",Drink Mixes
"Country Time Pink Lemonade Naturally Flavored Powdered Drink Mix, 23.9 oz Canister",Drink Mixes
"Propel Berry Enhanced Water Drink Mix Powder With Electrolytes, Vitamins and No Sugar, 0.08 oz, 10 Pack",Drink Mixes
"Kool-Aid Unsweetened Lemonade Naturally Flavored Powdered Soft Drink Mix, 0.23 oz Packet",Drink Mixes
"Great Value Sugar-Free Wild Strawberry Energy Drink Mix, 1.1 oz, 10 Count",Drink Mixes
"Kool-Aid Unsweetened Orange Artificially Flavored Powdered Soft Drink Mix, 0.15 oz Packet",Drink Mixes
"Great Value Sugar-Free Lemonade Drink Mix, 0.14 Oz., 10 Count",Drink Mixes
"Great Value Grape Drink Mix, .77 oz, 10 Count",Drink Mixes
"Great Value Drink Mix, Tropical Punch, 63 oz",Drink Mixes
"Crush Powder Drink Mix, Pineapple",Drink Mixes
"Great Value Electrolyte Vitamin Enhanced Strawberry Kiwi Drink Mix, 0.08 oz, 10 count",Drink Mixes
"Crystal Light Wild Strawberry Sugar Free Drink Mix Singles with Caffeine, 10 ct On-the-Go-Packets",Drink Mixes
"Crush Sugar Free Orange On the Go Drink Mix, 0.09 oz, 6 count",Drink Mixes
